C:\Users\Administrator\AppData\Local\Temp\9b586bf1-f786-40bb-9492-9d2ff12b6e27.tmp | 110209 bytes | falha: 'charmap' codec can't decode byte 0x8f in position 151: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\9c9ba2ab-b73f-42d6-bb3b-7e9a8658432f.tmp | 110369 bytes | falha: 'charmap' codec can't decode byte 0x90 in position 212: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\9EAF4453-C4F3-11F0-BFFE-FD7798C13567 | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\9EAF4453-C4F3-11F0-BFFE-FD7798C13567'
C:\Users\Administrator\AppData\Local\Temp\assistant_installer_20251118235012.log | 283 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\assistant_installer_20251126234312.log | 527 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\assistant_installer_20251126234314.log | 374 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\b3d167da-581f-4662-a7ce-52d08b86013b.tmp | 110392 bytes | falha: 'charmap' codec can't decode byte 0x8f in position 268: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\b698f7a9-be18-491a-8683-f08555ef2739.tmp | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\b698f7a9-be18-491a-8683-f08555ef2739.tmp'
C:\Users\Administrator\AppData\Local\Temp\bb64bf0a-863e-4a4c-b110-725e739c0bfd.tmp | 1123437 bytes | falha: 'charmap' codec can't decode byte 0x9d in position 149: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\c56f5690-2bc7-46aa-b40f-9dbf9103e830.tmp | 3299503 bytes | falha: 'charmap' codec can't decode byte 0x81 in position 44: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\ce609acf-b952-4806-9659-e7780789e76d.tmp | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\ce609acf-b952-4806-9659-e7780789e76d.tmp'
C:\Users\Administrator\AppData\Local\Temp\cf3d7587-633d-401d-ad21-61bc5a8603ec.tmp | 769452 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\cf3d7587-633d-401d-ad21-61bc5a8603ec.tmp'
C:\Users\Administrator\AppData\Local\Temp\CUsersAdministratorAppDataLocalProgramsOperaGXautoupdateopera_autoupdate.download.lock | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\D566D7D7-DCD6-471C-8109-BE0AD33199E3 | 64 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\da0b60a1-6232-45fc-90bf-7db5b54505bc.tmp | 136888 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\da0b60a1-6232-45fc-90bf-7db5b54505bc.tmp'
C:\Users\Administrator\AppData\Local\Temp\dbfd8214-4e72-44bd-a468-0637cd7fa037.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\dccefc1b-40c8-49d6-9729-0dd40fc0d7ee.tmp | 5273643 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\dccefc1b-40c8-49d6-9729-0dd40fc0d7ee.tmp'
C:\Users\Administrator\AppData\Local\Temp\e7a5faa8-f66d-453a-af4a-53d97be487c5.tmp | 13002 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\eaeb2576-b8d7-44fd-87c1-eeb425210589.tmp | 13002 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\F07D8C6A-04B6-4025-869C-70A788D7B5C0 | 72 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\f0fa4f7c-ac0c-44fe-b557-2486b5d0b61e.tmp | 13002 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\ff2863c9-4b14-4c78-8e69-fc24193d2775.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\Low | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\Low'
